customer_id,customer_name,address,city,zip_code,employment_status,credit_score,annual_income
1,Hunter Duran,29927 Carpenter Wells Apt. 499,Brownbury,95308,Unemployed,369,116429
2,Lisa Miller,496 Cassandra Lane Apt. 753,West Paul,17834,Employed,387,74625
3,Christopher Odom,6219 Berger Route Apt. 016,West Megan,27351,Unemployed,575,187222
4,Ronnie Black,940 Gonzalez Parkway Suite 005,Eugeneton,39330,Employed,339,174612
5,Samantha Smith,05029 Mendez Shoal,South Kimberlyhaven,77019,Retired,341,106756
6,Amber Smith,401 Solomon Coves,Lake Teresaburgh,24846,Retired,390,194148
7,Jose Sweeney,040 Tina Center Suite 562,North Brendaland,42263,Unemployed,574,78474
8,Anthony Henderson,461 Perez Highway,South Ryan,58198,Unemployed,467,80484
9,Kimberly Hoffman,35619 Christopher Drive Apt. 559,Port Joyce,53125,Employed,461,123282
10,Aaron Stokes,19453 Murphy Isle,Normanmouth,29052,Self-Employed,451,104179
11,Justin Mclaughlin,40155 Thomas Camp Apt. 151,Lake Marytown,91377,Unemployed,598,22655
12,Timothy Key,7618 Jacob Landing,Lake Coleside,37348,Retired,421,79867
13,Amber Mcgrath,863 Justin Springs Suite 520,North George,51530,Self-Employed,806,131732
14,Elizabeth Pacheco,618 Roman Mission,Lake Linda,31074,Employed,780,75356
15,Lindsey Kaufman,410 Macdonald Pine Suite 374,Patriciaburgh,67877,Employed,769,48271
16,Cristian Grant,399 Thompson Shoals Suite 045,South Joseph,27765,Self-Employed,623,122193
17,Kristine Ramos,713 Rice Points Suite 409,Port Christianville,29084,Unemployed,753,140013
18,Anna Lee,891 Dean Rest,Port Jesus,90976,Unemployed,421,183373
19,Scott Campbell,9490 Crosby Route Suite 116,Lake Samuel,94928,Retired,321,139703
20,Jacqueline Schmitt,6953 Malone Throughway Apt. 019,Turnerport,73579,Employed,526,161081
21,Debra Dominguez,1891 Kyle Hollow,Jonestown,56533,Retired,492,44054
22,Angela Andrews,84058 Alyssa Burg Apt. 197,North Leah,09843,Employed,813,37662
23,Matthew Kim,382 Lewis Crossing Suite 353,East Erin,04033,Retired,844,26895
24,Allison Savage,36433 Williams Parks,Lake Holly,90084,Employed,791,63241
25,Anna Perry,800 Dustin Motorway Suite 663,West Katelyn,06247,Retired,504,65043
26,Melissa Hughes,061 Cole Plains,Amandahaven,12552,Self-Employed,803,145826
27,Kirsten Nelson,67305 Neal Field,Sanchezmouth,91246,Unemployed,394,147054
28,Scott Novak,8115 Alyssa Well,Adkinsfort,65211,Unemployed,386,27177
29,Richard Ortiz,79015 Brian Knolls Suite 317,Lake Erik,92286,Unemployed,704,60605
30,Michael Scott,470 Acosta Canyon Apt. 025,East Timothyside,87499,Employed,411,177172
31,Alicia Houston,74431 Emily Summit Suite 416,New Michaelfort,56338,Employed,679,198503
32,Joanna Blair,6831 Mitchell Brooks Suite 199,Gregorychester,63504,Retired,395,120367
33,William Lyons,4768 Kelley Estates Apt. 799,New Saraborough,15277,Self-Employed,372,196361
34,Kenneth Glenn,450 Tate Square,Bethtown,37652,Self-Employed,530,50112
35,Christian Banks,35058 Jennifer Pine,Smithberg,05612,Employed,465,183664
36,Adrian Taylor,0136 Ramirez River Apt. 525,Lake Laurieburgh,85418,Self-Employed,468,58670
37,Collin Simpson,999 Joseph Station,Garrettmouth,77156,Employed,648,169918
38,Latoya Jones,103 David Loop,North Janet,81148,Retired,516,114668
39,Brian Chen,834 Schwartz Avenue,Martinville,86728,Employed,732,49031
40,Victor Stokes,7087 Jackson Lakes Apt. 361,New Jason,96459,Unemployed,625,112001
41,Nicholas Green,117 Catherine Pike Apt. 991,Butlerside,68418,Self-Employed,487,72013
42,Christina Thompson,5121 Trevor Drive,Careyhaven,03813,Retired,611,139422
43,Tanya Barnes,01281 Jay Mall,East Christopher,98011,Unemployed,339,24916
44,Michael Bennett,624 Sarah Ports,Lake Christina,70163,Employed,756,147539
45,Caitlin Valentine,7602 Bradley Springs,Belltown,69610,Retired,668,159713
46,Ashley Patterson,50306 Brandon Parkways,Rachelland,16110,Unemployed,610,82940
47,Jonathan Pham,049 Fisher Corner Apt. 560,South James,02562,Unemployed,400,158211
48,Kaitlin Miranda,6237 Smith Port,Taylorport,63428,Self-Employed,685,87500
49,James Anderson,23804 Michael Mills,Rosehaven,13898,Unemployed,488,130779
50,Brandon Parker,29271 Woods Islands Suite 940,South Brianside,88267,Self-Employed,789,24406
51,Glenda Morris,81448 Griffin Causeway,Lake Albert,28492,Retired,361,148621
52,Catherine Owens,4238 Evans Falls,Crystalburgh,68423,Unemployed,397,26110
53,Erica Hunt,815 Mitchell Locks,Hayeston,87190,Employed,358,32851
54,Madeline Williams,569 Thomas Gateway Suite 342,Port Jamesborough,37055,Self-Employed,527,159922
55,Victoria Collier,83985 John Bridge,Austinmouth,51822,Retired,387,148060
56,James Herrera,42145 Delgado Brooks,Port Danielborough,16361,Self-Employed,309,55028
57,Chad Lopez,19473 Spencer Rapid Apt. 615,Jasonshire,03217,Employed,527,47977
58,Kimberly Roman,4069 Duke Flats Apt. 826,Marytown,10659,Retired,615,126173
59,Susan Cross,12650 Brown Motorway Suite 483,Port Thomas,25164,Self-Employed,547,81837
60,Donna Archer,86303 Mitchell Junction Suite 395,Fernandezton,37413,Unemployed,360,45474
61,Erin Padilla,95682 Joshua Springs,Monicastad,25147,Self-Employed,426,25274
62,Daniel Snyder,65913 Jason Burgs Suite 343,Douglasberg,20685,Retired,666,179020
