employee_id,first_name,last_name,email,role,salary
1,Amanda,Brown,walter87@example.net,Loan Officer,71135
2,Joseph,Smith,rodneyduncan@example.net,Financial Advisor,88458
3,Julie,Blanchard,ashley90@example.net,Financial Advisor,69837
4,Kelly,Campbell,timothyparker@example.net,Loan Officer,52803
5,Daniel,Hines,scervantes@example.net,Financial Advisor,54451
6,Joshua,Beltran,anthony41@example.net,Loan Officer,131916
7,Maria,Sampson,jeannegentry@example.net,Financial Advisor,117691
8,Jessica,Jones,pmiller@example.com,Financial Advisor,142013
9,Dale,Pugh,nbush@example.org,Loan Officer,94124
10,Danielle,Rodriguez,edwardwilliams@example.net,Risk Manager,112608
11,Amy,Archer,anne24@example.com,Customer Service,108675
12,Steven,Summers,cturner@example.com,Financial Advisor,125417
13,Lauren,Stevens,elizabethwhite@example.org,Risk Manager,99193
14,Michael,Salazar,jennifer96@example.com,Customer Service,114675
15,Mark,Martin,barbara12@example.org,Financial Advisor,103227
16,Gregory,Stuart,johnscott@example.org,Financial Advisor,125304
17,Erika,Roberts,racheljohnson@example.net,Financial Advisor,110523
18,Derek,Hernandez,natalie15@example.com,Risk Manager,135629
19,Thomas,Bryant,qjones@example.org,Risk Manager,120563
20,Cynthia,Tyler,rebeccathomas@example.net,Financial Advisor,122473
21,Alexandria,Hurst,mike02@example.com,Customer Service,114189
22,David,Williams,zruiz@example.org,Customer Service,149294
23,William,Berry,tjimenez@example.org,Customer Service,127875
24,Dawn,Perez,masonjerry@example.com,Risk Manager,57840
25,Kathleen,Mendoza,sweeneymeagan@example.org,Risk Manager,118576
26,Douglas,Gomez,qvillanueva@example.net,Customer Service,135431
27,Anthony,Hernandez,sara41@example.com,Financial Advisor,79823
28,David,Myers,drakegregory@example.com,Loan Officer,81131
29,Fred,Buckley,johnlogan@example.org,Financial Advisor,60908
30,Stephen,Gross,staceyvargas@example.org,Customer Service,114676
31,Brian,Gonzalez,michelle05@example.com,Risk Manager,143114
32,Jamie,Bates,carterjohn@example.org,Customer Service,77232
33,Anthony,Blake,edwin23@example.com,Risk Manager,98786
34,Sarah,Fuentes,fporter@example.org,Loan Officer,124488
35,Andrew,Madden,ifreeman@example.net,Risk Manager,115428
36,Tracy,Anderson,angelafoster@example.org,Loan Officer,73797
37,Sarah,Davis,bradleycheryl@example.com,Financial Advisor,105969
38,Ashley,Smith,adiaz@example.org,Financial Advisor,131760
39,Carlos,Wilson,kennedybrittany@example.com,Loan Officer,53043
40,James,Powell,castanedamichael@example.net,Financial Advisor,96320
41,Lynn,Collins,alexandra93@example.org,Customer Service,55614
42,Alexandra,Webb,curtisandrea@example.net,Risk Manager,124777
43,Brandon,Melton,ywalker@example.org,Risk Manager,55960
44,Jeremy,Thomas,dominiquesims@example.net,Financial Advisor,56388
45,Anna,Miller,carrie49@example.com,Customer Service,138035
46,Angela,Lester,jessica76@example.com,Risk Manager,147494
47,Pamela,Gonzalez,barnesjoanne@example.net,Financial Advisor,130777
48,Nicholas,Sims,bharmon@example.org,Risk Manager,135457
49,Elizabeth,Brown,oferguson@example.com,Financial Advisor,115177
50,John,Watson,rebeccadavenport@example.org,Financial Advisor,52747
51,Tiffany,Chapman,martin21@example.org,Risk Manager,84773
52,Jesse,Thompson,sbush@example.net,Risk Manager,114112
53,Joel,Olsen,petersonjohn@example.org,Financial Advisor,53115
54,Colleen,Cain,underwoodjoseph@example.org,Financial Advisor,91301
55,Eric,Sanders,steven95@example.org,Risk Manager,116636
56,Erica,Brewer,shawdanny@example.org,Risk Manager,53146
57,Johnny,Payne,pherring@example.org,Financial Advisor,130827
58,Timothy,Fuentes,sdavis@example.com,Risk Manager,138568
59,Tara,Gutierrez,morselinda@example.net,Loan Officer,94640
60,Karen,Snow,dcummings@example.net,Customer Service,107729
61,Christopher,Maxwell,huntkristina@example.com,Customer Service,62813
62,David,Day,brooke80@example.net,Risk Manager,142928
63,Dana,Allen,sarahwilson@example.org,Loan Officer,114533
64,Melissa,Francis,charles15@example.org,Financial Advisor,111676
65,Gary,Horton,andrea88@example.com,Customer Service,131356
66,Candice,Craig,meredith34@example.net,Risk Manager,76854
67,Valerie,Miller,melissa96@example.com,Customer Service,109504
68,Holly,Adams,lauraferguson@example.com,Loan Officer,136886
69,Katherine,Conley,phillipsfrancisco@example.com,Risk Manager,51348
70,Debra,Pierce,veronica89@example.com,Loan Officer,128599
71,Jeanette,Roberson,martintanya@example.net,Risk Manager,128922
72,Angel,Haynes,murraykathryn@example.net,Loan Officer,58110
73,Marie,White,andrea38@example.net,Risk Manager,110573
74,Rebecca,Johnson,charlesbrown@example.com,Financial Advisor,68131
75,Jimmy,Walker,jimmyjackson@example.net,Financial Advisor,104250
76,Lindsay,Trujillo,petersonbruce@example.net,Customer Service,143468
77,Michelle,Martinez,donaldjones@example.org,Financial Advisor,132199
78,Robin,Fowler,gonzaleskimberly@example.com,Financial Advisor,111860
79,Erin,Lewis,zmccarthy@example.com,Loan Officer,120206
80,Christopher,Barton,josephdebra@example.com,Loan Officer,65482
81,Eric,Johnson,ssoto@example.com,Customer Service,75005
82,Kristin,Horton,amanda04@example.net,Customer Service,71329
83,Christopher,Manning,baileybrenda@example.com,Risk Manager,90011
84,Kevin,Knight,mitchellmadison@example.org,Financial Advisor,55541
85,Vicki,Flores,gabriellee@example.net,Financial Advisor,120214
86,Elizabeth,Christensen,diane58@example.org,Customer Service,108844
87,Garrett,Powers,lewisebony@example.com,Loan Officer,115183
88,Garrett,Phillips,katherinepark@example.net,Financial Advisor,117084
89,Destiny,Bowen,xalexander@example.net,Risk Manager,99453
90,Mary,Schneider,mtorres@example.org,Customer Service,50702
91,Amy,Stone,josechambers@example.com,Loan Officer,59173
92,Mary,Patrick,fbailey@example.org,Risk Manager,117183
93,Gregory,Meza,ericstephenson@example.net,Risk Manager,108060
94,Robert,Larson,marycole@example.org,Loan Officer,110108
95,Christopher,James,gutierrezchristopher@example.org,Loan Officer,139881
